,batting_team,bowling_team,city_stadium,runs,balls_left,wickets_left,crr,actual,predicted,prob_0,prob_1
20934,Sunrisers Hyderabad,Delhi Capitals,Delhi - Arun Jaitley Cricket Stadium,117,32,5,7.9772727272727275,1,0,0.7,0.3
20970,Mumbai Indians,Kolkata Knight Riders,Kolkata - Eden Gardens,1,115,9,1.2,0,1,0.145,0.855
20973,Mumbai Indians,Kolkata Knight Riders,Kolkata - Eden Gardens,3,112,9,2.25,0,1,0.375,0.625
20990,Mumbai Indians,Kolkata Knight Riders,Kolkata - Eden Gardens,22,92,8,4.714285714285714,0,1,0.01,0.99
20991,Mumbai Indians,Kolkata Knight Riders,Kolkata - Eden Gardens,24,91,8,4.9655172413793105,0,1,0.19,0.81
20992,Mumbai Indians,Kolkata Knight Riders,Kolkata - Eden Gardens,24,90,8,4.8,0,1,0.42,0.58
20994,Mumbai Indians,Kolkata Knight Riders,Kolkata - Eden Gardens,25,88,8,4.6875,0,1,0.35,0.65
20995,Mumbai Indians,Kolkata Knight Riders,Kolkata - Eden Gardens,26,87,8,4.7272727272727275,0,1,0.31,0.69
21058,Mumbai Indians,Kolkata Knight Riders,Kolkata - Eden Gardens,102,46,5,8.27027027027027,0,1,0.48,0.52
21850,Delhi Capitals,Mumbai Indians,Delhi - Arun Jaitley Cricket Stadium,27,84,8,4.5,0,1,0.33833333333333343,0.6616666666666667
21923,Delhi Capitals,Mumbai Indians,Delhi - Arun Jaitley Cricket Stadium,90,18,1,5.294117647058823,0,1,0.45,0.55
22178,Royal Challengers Bangalore,Mumbai Indians,Bangalore - M Chinnaswamy Stadium,9,32,10,0.6136363636363636,0,1,0.23,0.77
22187,Royal Challengers Bangalore,Mumbai Indians,Bangalore - M Chinnaswamy Stadium,26,24,10,1.625,0,1,0.49,0.51
22561,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,13,104,10,4.875,0,1,0.29,0.71
22564,Rajasthan Royals,Kolkata Knight Riders,Jaipur - Sawai Mansingh Stadium,17,101,10,5.368421052631579,0,1,0.48,0.52
22831,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,46,119,9,276.0,0,1,0.44,0.56
22832,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,47,118,9,141.0,0,1,0.43,0.57
22845,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,60,79,7,8.78048780487805,0,1,0.24,0.76
22847,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,62,77,7,8.651162790697674,0,1,0.081,0.919
22848,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,64,76,7,8.727272727272728,0,1,0.4478333333333333,0.5521666666666666
22850,Sunrisers Hyderabad,Kings XI Punjab,Hyderabad,65,74,7,8.478260869565217,0,1,0.15866666666666665,0.8413333333333333
